[Accuracy: 45.1% for 1000 games with 10 bombs, total time: 69.06s, average time per game: 0.07s]
won,399,474,0.08,31
won,400,474,0.1,26
won,401,474,0.08,14
lost,401,475,0.04,3
lost,401,476,0.03,8
lost,401,477,0.07,8
lost,401,478,0.03,2
lost,401,479,0.07,16
lost,401,480,0.03,8
won,402,480,0.08,31
won,403,480,0.1,31
won,404,480,0.08,26
lost,404,481,0.03,2
lost,404,482,0.03,3
won,405,482,0.1,23
won,406,482,0.1,25
won,407,482,0.08,17
lost,407,483,0.02,1
lost,407,484,0.05,20
won,408,484,0.09,36
won,409,484,0.08,12
lost,409,485,0.03,5
lost,409,486,0.03,1
lost,409,487,0.02,2
won,410,487,0.07,32
won,411,487,0.07,19
lost,411,488,0.05,8
lost,411,489,0.03,1
won,412,489,0.08,16
won,413,489,0.08,16
won,414,489,0.1,29
lost,414,490,0.04,4
lost,414,491,0.04,3
lost,414,492,0.03,2
lost,414,493,0.09,17
lost,414,494,0.03,2
lost,414,495,0.02,1
lost,414,496,0.04,4
lost,414,497,0.09,22
won,415,497,0.06,19
lost,415,498,0.07,25
lost,415,499,0.03,4
lost,415,500,0.05,8
lost,415,501,0.03,4
won,416,501,0.1,27
won,417,501,0.07,28
won,418,501,0.08,25
lost,418,502,0.04,3
lost,418,503,0.03,3
lost,418,504,0.04,1
lost,418,505,0.03,2
lost,418,506,0.03,1
lost,418,507,0.03,5
lost,418,508,0.09,17
lost,418,509,0.04,3
lost,418,510,0.03,4
won,419,510,0.1,36
lost,419,511,0.03,1
won,420,511,0.08,28
lost,420,512,0.03,3
won,421,512,0.1,21
lost,421,513,0.03,1
lost,421,514,0.03,1
lost,421,515,0.03,2
lost,421,516,0.03,1
won,422,516,0.08,23
lost,422,517,0.03,2
lost,422,518,0.05,4
lost,422,519,0.05,10
won,423,519,0.07,14
lost,423,520,0.04,4
lost,423,521,0.03,8
lost,423,522,0.03,2
lost,423,523,0.03,5
lost,423,524,0.07,30
won,424,524,0.08,30
won,425,524,0.1,31
won,426,524,0.11,31
won,427,524,0.11,32
won,428,524,0.11,33
lost,428,525,0.03,3
lost,428,526,0.05,3
lost,428,527,0.05,2
lost,428,528,0.05,3
won,429,528,0.13,28
lost,429,529,0.08,21
lost,429,530,0.03,1
lost,429,531,0.05,1
won,430,531,0.1,28
lost,430,532,0.03,1
won,431,532,0.09,25
lost,431,533,0.02,1
won,432,533,0.08,21
won,433,533,0.07,19
lost,433,534,0.05,2
lost,433,535,0.08,16
won,434,535,0.08,20
lost,434,536,0.05,9
lost,434,537,0.05,3
lost,434,538,0.04,2
lost,434,539,0.03,1
won,435,539,0.08,21
won,436,539,0.1,31
won,437,539,0.1,31
won,438,539,0.1,32
won,439,539,0.07,20
won,440,539,0.08,22
won,441,539,0.1,29
won,442,539,0.1,24
lost,442,540,0.08,16
lost,442,541,0.03,1
lost,442,542,0.04,1
lost,442,543,0.09,20
won,443,543,0.07,17
won,444,543,0.09,17
won,445,543,0.07,11
won,446,543,0.08,14
lost,446,544,0.07,15
lost,446,545,0.03,2
lost,446,546,0.05,1
lost,446,547,0.03,2
won,447,547,0.1,25
won,448,547,0.08,20
lost,448,548,0.07,18
won,449,548,0.1,32
won,450,548,0.08,13
won,451,548,0.08,14
lost,451,549,0.03,3
